condition,rate_hz,nominal_seq_step_mean,nominal_seq_step_std,duration_s_mean,duration_s_std,effective_live_rate_mean,effective_live_rate_std,staleness_mean_ms_mean,staleness_mean_ms_std,staleness_median_ms_mean,staleness_median_ms_std,staleness_p95_ms_mean,staleness_p95_ms_std,staleness_max_ms_mean,staleness_max_ms_std,gaps_count_mean,gaps_count_std,missing_samples_mean,missing_samples_std,largest_gap_mean,largest_gap_std,inter_arrival_mean_ms_mean,inter_arrival_mean_ms_std,inter_arrival_std_ms_mean,inter_arrival_std_ms_std,inter_arrival_p95_ms_mean,inter_arrival_p95_ms_std,recovery_time_ms_mean,recovery_time_ms_std,recovered_by_replay_mean,recovered_by_replay_std,live_missing_total_mean,live_missing_total_std,replay_recovery_ratio_mean,replay_recovery_ratio_std,live_count_mean,live_count_std,replay_count_mean,replay_count_std
baseline,50,4.0,0.0,67.16000000000001,2.6939489601698097,50.17219235677141,0.057369628303226006,6.932204259219877,17.008534594084864,1.1072591145833333,15.754802876659461,306.2182983398437,28.034015672134633,349.9664713541667,26.529613339176898,406.6666666666667,34.07834111768548,447.3333333333333,34.35597958628649,41.666666666666664,0.5773502691896263,19.835791385682892,0.020045401033704755,14.957445584300464,0.23680432274332766,20.79999999999988,0.34641016151398524,49.666666666666664,4.041451884327381,14.333333333333334,6.429100507328636,447.3333333333333,34.35597958628649,0.03189785450779036,0.014240120976113475,3369.6666666666665,138.9040436176475,150.0,0.0
baseline,100,4.0,0.0,72.69466666666666,10.454773518988036,100.403947805854,0.33333526001553243,22.28921214408528,21.391178999921678,22.669474283854168,25.98842409013332,313.10342610677077,25.28124021888719,357.7940266927083,25.155406152697548,46.666666666666664,24.33789911502908,130.0,24.55605831561735,84.33333333333333,1.1547005383792495,9.91386735672627,0.025901047327375287,10.43233831000422,0.5525573684882946,15.333333333333334,0.5773502691896258,30.0,24.269322199023193,65.0,31.176914536239792,130.0,24.55605831561735,0.508000426010786,0.26440464553104215,7301.0,1074.3644632991172,300.0,0.0
delay,50,4.0,0.0,69.19133333333333,3.397337977495522,9.93402081618182,0.029983312235314984,32050.665201773798,2162.8435614986897,31813.47432454427,2175.2768755301277,57322.875370279944,3106.6755372538873,60274.680013020836,3481.4383391039664,54.0,67.84541251993387,61.333333333333336,68.41296173484476,8.333333333333334,0.5773502691896255,100.24725675761955,0.3000146835510616,32.47737409239816,2.3012784926189402,100.0,0.0,58.666666666666664,18.58314648635514,3.3333333333333335,4.041451884327381,61.333333333333336,68.41296173484476,0.2785885577252484,0.45168203982433086,687.3333333333334,33.38163167571852,150.0,0.0
delay,100,4.0,0.0,65.483,0.9483311657854524,9.941620230075008,0.015705149654788517,35101.810510798496,1099.7614127481988,35051.98828125,1087.0804029609485,61826.9217203776,869.3401169566702,64709.437662760414,856.5563565754554,15.333333333333334,9.073771725877465,23.0,8.888194417315589,8.666666666666666,0.5773502691896258,100.12355421608349,0.22909562342616843,33.715149137581854,1.6062105704749667,100.33333333333333,0.5773502691896247,62.333333333333336,23.45918441321721,6.333333333333333,1.5275252316519468,23.0,8.888194417315589,0.33589743589743587,0.24207355395144353,651.0,8.717797887081348,300.0,0.0
disconnect_replay,50,4.0,0.0,67.83266666666667,6.201429216989692,48.57085610140036,0.2362465881819996,-5.061383857031334,2.451446507419964,-19.846842447916668,8.940274136778857,305.8920247395833,21.63294471221356,340.410400390625,27.040126947118715,361.0,221.27584594799316,509.6666666666667,220.7019105792547,149.66666666666666,0.5773502691896278,20.49252293331442,0.0884460832878459,51.352016952866116,2.4184570132152245,21.0,0.0,2113.3333333333335,6.027713773341655,12.0,2.6457513110645907,509.6666666666667,220.7019105792547,0.027577930110449084,0.01411595599882395,3295.6666666666665,318.00052410858274,150.0,0.0
disconnect_replay,100,4.0,0.0,68.05433333333333,2.7600623785221434,97.11968356261896,0.3182606036731058,29.195879850967742,19.371599454193298,38.898396809895836,34.06567735252712,304.41116129557287,13.491390486892085,350.6178385416667,24.283035400878315,237.33333333333334,373.4519156910744,536.3333333333334,373.4519156910744,300.0,0.0,10.24759416227277,0.031162887678761717,36.37481636543787,0.6506320268089788,15.0,0.0,2110.6666666666665,23.00724523564986,71.0,25.11971337416094,536.3333333333334,373.4519156910744,0.19273383692766366,0.13046146994402963,6610.0,289.8741106066563,300.0,0.0
loss,50,4.0,0.0,70.54433333333333,6.423500629200043,47.77160351060606,0.2664523679621222,27.074433207844596,25.12279195563231,27.83349609375,44.277705008266025,308.96960449218744,25.161745418909035,350.5990397135417,19.86869255232408,311.6666666666667,222.76070868385506,364.3333333333333,225.34492080660112,43.0,0.0,20.836940881857874,0.10878747152932643,15.836843798346885,0.7770927345570785,30.75,4.175823272122517,49.666666666666664,0.5773502691896263,25.333333333333332,13.012814197295423,364.3333333333333,225.34492080660112,0.08294085432639649,0.06067828569531082,3370.6666666666665,318.1514314494488,150.0,0.0
loss,100,4.0,0.0,69.448,4.09496483501385,91.4593932499569,7.30426199291486,918.3011820953025,807.9366401123478,122.32820638020833,103.19837627598613,5746.659000651041,4996.121748810622,6657.997884114583,5704.123776226468,599.6666666666666,335.5612214385526,1018.6666666666666,474.207057447834,404.6666666666667,555.41095896042,10.933001558087208,0.9177625746101014,12.14972788491256,0.9206555099687751,20.666666666666668,1.5275252316519472,30.333333333333332,24.54248017893329,128.33333333333334,131.84966186279485,1018.6666666666666,474.207057447834,0.11822399082678257,0.07755220981225201,6337.0,360.5995008316013,300.0,0.0
