condition,rate_hz,repetition,run_tag,file_name,nominal_seq_step,duration_s,effective_live_rate,n_rows_total,live_count,replay_count,history_requests,history_loaded,missing_samples,live_missing_total,gaps_count,largest_gap,recovered_by_replay,unrecovered_context,replay_recovery_ratio,recovery_time_ms,relative_timestamp_offset_mean_ms,relative_timestamp_offset_median_ms,relative_timestamp_offset_p95_ms,relative_timestamp_offset_max_ms,staleness_mean_ms,staleness_median_ms,staleness_p95_ms,staleness_max_ms,inter_arrival_mean_ms,inter_arrival_std_ms,inter_arrival_p95_ms,validation_warning
reconnect_only,75,4,run_2026-06-22t13-05-36-351z,ui_log_reconnect_only_r75_rep4.csv,4,70.334,72.09884266499843,5077,5071,0,0,0,120,120,83,38,0,120,0.0,9.0,4.655791375745662,0.2314453125,30.6424560546875,78.44091796875,4.655791375745662,0.2314453125,30.6424560546875,78.44091796875,13.868441814595661,24.9360486075858,39.0,
reconnect_only,75,5,run_2026-06-22t13-07-26-234z,ui_log_reconnect_only_r75_rep5.csv,4,71.25,71.10175438596491,5072,5066,0,0,0,87,87,50,38,0,87,0.0,7.0,5.5218930430813264,0.2078857421875,31.07843017578125,1142.730712890625,5.5218930430813264,0.2078857421875,31.07843017578125,1142.730712890625,14.062981243830206,29.035145495930422,38.0,
reconnect_only,75,6,run_2026-06-22t13-09-16-967z,ui_log_reconnect_only_r75_rep6.csv,4,70.289,72.0880934427862,5073,5067,0,0,0,134,134,97,38,0,134,0.0,9.0,4.9208959801935315,0.116943359375,28.73232421874995,1207.689208984375,4.9208959801935315,0.116943359375,28.73232421874995,1207.689208984375,13.870509277536518,25.485404351563886,37.0,
reconnect_only,75,7,run_2026-06-22t13-11-06-793z,ui_log_reconnect_only_r75_rep7.csv,4,70.331,72.04504414838406,5073,5067,0,0,0,192,192,155,38,0,192,0.0,11.0,4.836565799536214,0.191162109375,30.882226562499966,1132.635498046875,4.836565799536214,0.191162109375,30.882226562499966,1132.635498046875,13.878799842084485,25.226388912256784,38.0,
reconnect_only,75,8,run_2026-06-22t13-12-56-655z,ui_log_reconnect_only_r75_rep8.csv,4,70.473,71.92825621159876,5075,5069,0,0,0,60,60,23,38,0,60,0.0,10.0,4.595324319315323,0.11669921875,30.631298828124965,106.697998046875,4.595324319315323,0.11669921875,30.631298828124965,106.697998046875,13.901341752170481,26.313801657353796,38.0,
reconnect_only,75,9,run_2026-06-22t13-14-48-057z,ui_log_reconnect_only_r75_rep9.csv,4,70.352,71.99511030247896,5071,5065,0,0,0,44,44,7,38,0,44,0.0,6.0,4.070336263342177,0.139404296875,28.520263671875007,87.973388671875,4.070336263342177,0.139404296875,28.520263671875007,87.973388671875,13.888625592417062,25.542083350638926,37.0,
reconnect_only,75,10,run_2026-06-22t13-16-37-974z,ui_log_reconnect_only_r75_rep10.csv,4,70.355,71.99204036671168,5071,5065,0,0,0,51,51,14,38,0,51,0.0,7.0,4.885394751048865,0.19091796875,30.434521484375022,1193.206787109375,4.885394751048865,0.19091796875,30.434521484375022,1193.206787109375,13.888823064770932,26.01308717932487,38.0,
reconnect_only,100,1,run_2026-06-22t13-18-27-899z,ui_log_reconnect_only_r100_rep1.csv,4,70.364,96.00079586152009,6761,6755,0,0,0,1400,1400,1352,49,0,1400,0.0,6.0,4.977439490712898,-0.0615234375,31.510473632812495,106.74755859375,4.977439490712898,-0.0615234375,31.510473632812495,106.74755859375,10.415013325436778,22.355340513324993,14.0,
reconnect_only,100,2,run_2026-06-22t13-20-19-002z,ui_log_reconnect_only_r100_rep2.csv,4,70.351,96.03275006751859,6762,6756,0,0,0,101,101,52,50,0,101,0.0,3.0,5.11123550622826,0.2955322265625,31.370849609375,86.39404296875,5.11123550622826,0.2955322265625,31.370849609375,86.39404296875,10.41139896373057,22.443452853703292,13.0,
reconnect_only,100,3,run_2026-06-22t13-22-09-135z,ui_log_reconnect_only_r100_rep3.csv,4,70.375,96.0,6762,6756,0,0,0,184,184,135,50,0,184,0.0,3.0,5.147330664120319,-0.139892578125,31.82403564453125,124.793701171875,5.147330664120319,-0.139892578125,31.82403564453125,124.793701171875,10.415247964470762,22.369902330416746,14.0,
