wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774319371203,run_start,,,,,,-1,run_2026-03-24T02-29-31-203Z,,,ws://localhost:8080/
1774319371203,ws_connect_attempt,,,,,,0,run_2026-03-24T02-29-31-203Z,,,ws://localhost:8080/
1774319371523,ws_open,,,,,,1,run_2026-03-24T02-29-31-203Z,,,
1774319371539,telemetry,live,1252,1774319371257740300,281.259765625,0,1,loss_r50_rep3,,,
1774319371579,telemetry,live,1259,1774319371298071300,280.9287109375,7,1,loss_r50_rep3,,,
1774319371619,telemetry,live,1267,1774319371338257400,280.74267578125,8,1,loss_r50_rep3,,,
1774319371639,telemetry,live,1272,1774319371358018300,280.981689453125,5,1,loss_r50_rep3,,,
1774319371659,telemetry,live,1276,1774319371378198800,280.80126953125,4,1,loss_r50_rep3,,,
1774319371678,telemetry,live,1280,1774319371398098000,279.902099609375,4,1,loss_r50_rep3,,,
1774319371699,telemetry,live,1284,1774319371418195000,280.80517578125,4,1,loss_r50_rep3,,,
1774319371718,telemetry,live,1288,1774319371438145300,279.854736328125,4,1,loss_r50_rep3,,,
1774319371738,telemetry,live,1292,1774319371458058200,279.941650390625,4,1,loss_r50_rep3,,,
1774319371767,telemetry,live,1296,1774319371478281200,288.71875,4,1,loss_r50_rep3,,,
1774319371779,telemetry,live,1300,1774319371498178300,280.82177734375,4,1,loss_r50_rep3,,,
1774319371797,telemetry,live,1304,1774319371518123300,278.876708984375,4,1,loss_r50_rep3,,,
1774319371818,telemetry,live,1308,1774319371538185200,279.814697265625,4,1,loss_r50_rep3,,,
1774319371843,telemetry,live,1312,1774319371558126600,284.873291015625,4,1,loss_r50_rep3,,,
1774319371857,telemetry,live,1316,1774319371578294500,278.70556640625,4,1,loss_r50_rep3,,,
1774319371877,telemetry,live,1320,1774319371598854000,278.14599609375,4,1,loss_r50_rep3,,,
1774319371896,telemetry,live,1324,1774319371618086400,277.91357421875,4,1,loss_r50_rep3,,,
1774319371915,telemetry,live,1328,1774319371638019000,276.98095703125,4,1,loss_r50_rep3,,,
1774319371936,telemetry,live,1332,1774319371658091300,277.90869140625,4,1,loss_r50_rep3,,,
1774319371956,telemetry,live,1336,1774319371678256400,277.74365234375,4,1,loss_r50_rep3,,,
1774319371975,telemetry,live,1340,1774319371697967400,277.03271484375,4,1,loss_r50_rep3,,,
1774319371999,telemetry,live,1344,1774319371717972000,281.028076171875,4,1,loss_r50_rep3,,,
1774319372034,telemetry,live,1352,1774319371757956600,276.04345703125,8,1,loss_r50_rep3,,,
1774319372054,telemetry,live,1356,1774319371777954800,276.045166015625,4,1,loss_r50_rep3,,,
1774319372074,telemetry,live,1360,1774319371798099700,275.900390625,4,1,loss_r50_rep3,,,
1774319372094,telemetry,live,1364,1774319371818188300,275.811767578125,4,1,loss_r50_rep3,,,
1774319372114,telemetry,live,1368,1774319371838395100,275.60498046875,4,1,loss_r50_rep3,,,
1774319372134,telemetry,live,1372,1774319371858128100,275.871826171875,4,1,loss_r50_rep3,,,
1774319372153,telemetry,live,1376,1774319371878148900,274.85107421875,4,1,loss_r50_rep3,,,
1774319372173,telemetry,live,1379,1774319371898190600,274.809326171875,3,1,loss_r50_rep3,,,
1774319372193,telemetry,live,1384,1774319371918145800,274.854248046875,5,1,loss_r50_rep3,,,
1774319372212,telemetry,live,1388,1774319371938038500,273.96142578125,4,1,loss_r50_rep3,,,
1774319372233,telemetry,live,1392,1774319371958319000,274.680908203125,4,1,loss_r50_rep3,,,
1774319372256,telemetry,live,1396,1774319371978224000,277.77587890625,4,1,loss_r50_rep3,,,
1774319372282,telemetry,live,1400,1774319371998130400,283.86962890625,4,1,loss_r50_rep3,,,
1774319372336,telemetry,live,1403,1774319372018164000,317.8359375,3,1,loss_r50_rep3,,,
1774319372367,telemetry,live,1408,1774319372038070300,328.9296875,5,1,loss_r50_rep3,,,
1774319372369,telemetry,live,1412,1774319372057981000,311.01904296875,4,1,loss_r50_rep3,,,
