wall_ms,event,source,seq,t_ns,staleness_ms,gap_from_prev,ws_state,run_tag,last,count,note
1774313295352,run_start,,,,,,-1,run_2026-03-24T00-48-15-351Z,,,ws://localhost:8080/
1774313295352,ws_connect_attempt,,,,,,0,run_2026-03-24T00-48-15-351Z,,,ws://localhost:8080/
1774313295665,ws_open,,,,,,1,run_2026-03-24T00-48-15-351Z,,,
1774313295679,telemetry,live,8428,1774313295767131600,-88.131591796875,0,1,baseline_r50_rep1,,,
1774313295699,telemetry,live,8432,1774313295788065500,-89.0654296875,4,1,baseline_r50_rep1,,,
1774313295719,telemetry,live,8436,1774313295807492400,-88.492431640625,4,1,baseline_r50_rep1,,,
1774313295738,telemetry,live,8440,1774313295827573500,-89.573486328125,4,1,baseline_r50_rep1,,,
1774313295757,telemetry,live,8444,1774313295847319000,-90.319091796875,4,1,baseline_r50_rep1,,,
1774313295777,telemetry,live,8448,1774313295867467000,-90.467041015625,4,1,baseline_r50_rep1,,,
1774313295796,telemetry,live,8452,1774313295887255000,-91.255126953125,4,1,baseline_r50_rep1,,,
1774313295816,telemetry,live,8456,1774313295907211500,-91.21142578125,4,1,baseline_r50_rep1,,,
1774313295836,telemetry,live,8460,1774313295927343400,-91.34326171875,4,1,baseline_r50_rep1,,,
1774313295855,telemetry,live,8464,1774313295947367200,-92.3671875,4,1,baseline_r50_rep1,,,
1774313295875,telemetry,live,8468,1774313295967337700,-92.337646484375,4,1,baseline_r50_rep1,,,
1774313295895,telemetry,live,8472,1774313295987380700,-92.380615234375,4,1,baseline_r50_rep1,,,
1774313295914,telemetry,live,8476,1774313296007286800,-93.286865234375,4,1,baseline_r50_rep1,,,
1774313295934,telemetry,live,8480,1774313296027434000,-93.43408203125,4,1,baseline_r50_rep1,,,
1774313295953,telemetry,live,8484,1774313296047257900,-94.2578125,4,1,baseline_r50_rep1,,,
1774313295973,telemetry,live,8488,1774313296067479600,-94.4794921875,4,1,baseline_r50_rep1,,,
1774313295992,telemetry,live,8492,1774313296087484400,-95.484375,4,1,baseline_r50_rep1,,,
1774313296012,telemetry,live,8495,1774313296107266800,-95.266845703125,3,1,baseline_r50_rep1,,,
1774313296032,telemetry,live,8500,1774313296127292700,-95.292724609375,5,1,baseline_r50_rep1,,,
